,character,frequency,number_of_strokes
2943,擲,1276,8
2944,窕,1273,1
2945,煽,1271,4
2946,袱,1270,1
2947,蝕,1263,4
2948,絆,1261,1
2949,茹,1259,0
2950,瞪,1258,7
2951,丐,1256,4
2952,舅,1256,3
2953,詰,1256,3
2954,懺,1255,0
2955,鹹,1253,0
2956,錐,1251,6
2957,丑,1246,4
2958,淳,1246,1
2959,焚,1243,2
2960,溉,1240,2
2961,毓,1240,3
2962,蒐,1237,4
2963,戳,1237,8
2964,雛,1237,8
2965,闕,1235,8
2966,佰,1234,8
2967,鈺,1232,3
2968,哄,1225,9
2969,菱,1224,2
2970,肺,1223,8
2971,軀,1219,8
2972,芸,1214,8
2973,姨,1213,9
2974,壟,1212,9
2975,盯,1210,7
2976,奢,1210,1
2977,巾,1208,3
2978,槃,1206,4
2979,紗,1196,0
2980,菸,1196,2
2981,凹,1195,5
2982,腕,1195,2
2983,翟,1195,4
2984,怠,1194,9
2985,蟾,1191,9
2986,蔭,1188,5
2987,庄,1185,6
2988,寰,1184,6
2989,囡,1183,6
2990,瑄,1183,3
2991,饋,1183,0
2992,阱,1177,7
2993,靶,1174,3
2994,腎,1172,2
2995,擱,1172,7
2996,搏,1171,3
2997,闌,1170,7
2998,穆,1169,6
2999,呱,1165,8
3000,犀,1165,2
3001,飢,1161,0
3002,蹺,1161,9
3003,疵,1160,1
3004,瑤,1155,4
3005,樵,1155,6
3006,鴛,1155,6
3007,輒,1153,4
3008,閥,1153,4
3009,琨,1149,2
3010,憧,1149,5
3011,勻,1148,4
3012,搗,1147,3
3013,隙,1142,4
3014,悵,1140,1
3015,虞,1140,3
3016,跪,1139,3
3017,乞,1137,3
3018,逞,1137,1
3019,孽,1137,0
3020,瀰,1137,0
3021,榕,1136,4
3022,徽,1136,7
3023,蜀,1132,3
3024,螃,1130,6
3025,俏,1129,9
3026,淆,1129,1
3027,丰,1128,4
3028,萱,1124,3
3029,俯,1123,0
3030,敞,1122,2
3031,渣,1121,2
3032,緝,1119,5
3033,詛,1118,2
3034,紳,1115,1
3035,屐,1111,0
3036,眺,1111,1
3037,咫,1110,9
3038,溺,1107,3
3039,疆,1107,9
3040,饅,1106,9
3041,瓏,1106,0
3042,屯,1101,4
3043,沸,1101,8
3044,餃,1101,4
3045,鴦,1101,6
3046,夭,1099,4
3047,憬,1098,5
3048,駱,1098,6
3049,芹,1097,8
3050,葦,1097,3
3051,徘,1095,1
3052,竄,1095,8
3053,謗,1093,7
3054,啼,1092,2
3055,囚,1091,5
3056,絮,1088,2
3057,鐸,1088,1
3058,乍,1086,5
3059,蕙,1086,6
3060,杆,1083,7
3061,冗,1081,4
3062,簧,1081,8
3063,脊,1080,0
3064,眸,1080,1
3065,愿,1078,4
3066,趴,1077,9
3067,滯,1077,4
3068,貂,1076,2
3069,嘶,1072,5
3070,拱,1070,9
3071,掀,1067,1
3072,萃,1067,2
3073,彗,1066,1
3074,邵,1064,8
3075,徨,1063,2
3076,輿,1063,7
3077,朮,1062,5
3078,巍,1062,1
3079,徊,1060,9
3080,叩,1059,5
3081,妞,1055,7
3082,侏,1055,8
3083,苟,1055,9
3084,吠,1054,7
3085,嘩,1050,5
3086,憊,1048,6
3087,茅,1043,9
3088,矯,1042,7
3089,邂,1041,7
3090,檯,1040,8
3091,鎚,1040,8
3092,禽,1039,3
3093,棠,1038,2
3094,崖,1036,1
3095,澆,1032,5
3096,啄,1030,1
3097,挂,1026,9
3098,銜,1026,4
3099,朽,1019,6
3100,嫖,1018,4
3101,汐,1017,6
3102,揣,1017,2
3103,寥,1016,4
3104,徬,1014,3
3105,畜,1010,0
3106,瑕,1010,3
3107,氾,1009,5
3108,赦,1008,1
3109,筱,1008,3
3110,粥,1005,2
3111,稜,1005,3
3112,虔,999,0
3113,湛,999,2
3114,崙,998,1
3115,瞻,998,8
3116,懦,997,7
3117,滲,993,4
3118,儡,993,7
3119,祿,992,2
3120,簾,992,9
3121,擒,991,6
3122,萎,989,2
3123,澈,988,4
3124,蓓,986,4
3125,磋,983,5
3126,膳,981,6
3127,瀉,981,8
3128,蚤,979,0
3129,椒,979,2
3130,儕,979,6
3131,塌,977,3
3132,莽,975,1
3133,琮,974,2
3134,壤,972,0
3135,矽,971,8
3136,弧,970,8
3137,茍,970,9
3138,脖,969,1
3139,憫,969,5
3140,魎,969,8
3141,鏈,969,9
3142,蕊,965,6
3143,鍛,963,7
3144,奎,961,9
3145,嚼,961,0
3146,糗,961,6
3147,楷,960,3
3148,茁,958,9
3149,偎,958,1
3150,磅,958,5
3151,笙,957,1
3152,蔓,956,5
3153,恃,955,9
3154,隅,953,2
3155,餌,953,4
3156,裘,952,3
3157,俐,951,9
3158,拚,950,8
3159,廓,949,4
3160,鄒,946,3
3161,烘,945,0
3162,汀,943,5
3163,鑄,943,2
3164,崑,942,1
3165,鑒,942,2
3166,嚷,936,0
3167,莖,935,1
3168,噸,935,6
3169,煤,934,3
3170,勘,933,1
3171,殲,933,1
3172,樽,932,6
3173,扔,931,5
3174,杏,931,7
3175,瀾,929,0
3176,廈,928,3
3177,噎,927,5
3178,穢,927,8
3179,馴,925,3
3180,峙,923,9
3181,厄,921,4
3182,躬,921,0
3183,僻,920,5
3184,酥,919,2
3185,毆,918,5
3186,郤,918,0
3187,曖,917,7
3188,繽,915,0
3189,伽,914,7
3190,閔,914,2
3191,蔑,914,5
3192,茜,914,0
3193,躁,913,0
3194,誡,912,4
3195,繕,911,8
3196,咎,910,8
3197,鏽,910,0
3198,淌,907,1
3199,曜,907,8
3200,扛,906,6
3201,頰,904,6
3202,佫,904,8
3203,麒,901,9
3204,喀,898,2
3205,蒞,897,4
3206,芥,895,8
3207,逅,895,0
3208,雇,894,2
3209,斟,893,3
3210,菇,892,2
3211,誦,891,4
3212,瞳,891,7
3213,苔,890,9
3214,樁,890,5
3215,懋,890,7
3216,曳,889,6
3217,滷,887,4
3218,閏,886,2
3219,耽,885,0
3220,駭,885,6
3221,糞,884,7
3222,卯,883,5
3223,岔,881,7
3224,琵,881,2
3225,蹋,881,7
3226,禹,880,9
3227,汲,877,7
3228,倌,877,0
3229,嗡,876,3
3230,泌,875,8
3231,捌,875,0
3232,皂,874,7
3233,晝,874,1
3234,渦,873,2
3235,岱,868,8
3236,梳,868,0
3237,莓,868,1
3238,睿,868,4
3239,鋸,867,6
3240,瞌,866,5
3241,轅,862,7
3242,惕,860,1
3243,廬,860,9
3244,旻,860,8
3245,遁,859,3
3246,贓,859,1
3247,礁,858,7
3248,毯,856,2
3249,絨,856,2
3250,淇,855,1
3251,甦,854,2
3252,莒,852,1
3253,粵,852,3
3254,焊,851,1
3255,瀨,849,9
3256,隘,848,3
3257,嫩,848,4
3258,藐,848,8
3259,垢,843,9
3260,聶,842,8
3261,譏,841,9
3262,恤,840,9
3263,怯,839,8
3264,岫,838,8
3265,巖,838,3
3266,倖,835,0
3267,訶,835,2
3268,裔,833,3
3269,蟄,833,7
3270,吭,832,7
3271,跤,832,3
3272,嘰,829,5
3273,梓,828,1
3274,鎧,828,8
3275,鱗,827,3
3276,痘,825,2
3277,朔,823,0
3278,騁,821,7
3279,驀,821,1
3280,矇,820,9
3281,椎,819,2
3282,嚎,816,7
3283,釐,816,8
3284,橄,815,6
3285,亥,814,6
3286,龔,814,2
3287,濛,812,7
3288,俞,809,9
3289,殃,809,9
3290,幟,809,5
3291,啃,807,1
3292,欖,807,5
3293,搓,806,3
3294,瓣,806,9
3295,妃,803,6
3296,噱,800,6
3297,埠,799,1
3298,硫,797,1
3299,裊,796,3
3300,閻,795,6
3301,狡,793,9
3302,橙,793,6
3303,蹄,791,6
3304,薔,791,7
3305,豚,789,1
3306,炭,787,9
3307,琶,787,2
3308,冀,787,6
3309,祟,785,0
3310,喙,784,2
3311,鷺,784,4
3312,炊,779,8
3313,糙,779,7
3314,靡,779,9
3315,塘,778,3
3316,媳,776,3
3317,筷,776,3
3318,懈,775,6
3319,嫂,774,3
3320,廝,774,5
3321,橡,774,6
3322,瓢,774,6
3323,暸,772,6
3324,兌,771,7
3325,攸,769,7
3326,唆,769,0
3327,塚,768,3
3328,溼,768,3
3329,搪,766,3
3330,茄,764,9
3331,膛,764,5
3332,祉,763,9
3333,氫,763,1
3334,炬,762,9
3335,挾,760,0
3336,瓷,760,1
3337,攬,760,4
3338,苓,756,9
3339,霆,756,5
3340,贅,756,8
3341,桐,754,0
3342,鍍,753,7
3343,狷,752,0
3344,呸,750,8
3345,嫉,750,3
3346,踹,750,6
3347,咆,747,8
3348,砌,747,9
3349,愣,746,2
3350,蜢,746,4
3351,藻,746,0
3352,瘤,744,5
3353,鞠,742,7
3354,墅,740,4
3355,瑣,740,4
3356,呎,739,7
3357,牟,738,6
3358,睏,738,2
3359,郡,737,0
3360,鉅,735,3
3361,饗,735,1
3362,遐,732,3
3363,胺,731,0
3364,霄,730,5
3365,猿,728,3
3366,蝠,728,5
3367,沐,727,7
3368,摟,727,4
3369,曦,726,0
3370,錚,724,6
3371,傀,723,2
3372,煚,723,3
3373,燼,722,8
3374,韜,721,9
3375,璇,720,5
3376,艷,719,4
3377,侃,718,8
3378,疚,717,8
3379,颺,717,8
3380,蹦,715,8
3381,恬,712,9
3382,璧,710,8
3383,霈,710,5
3384,屜,708,1
3385,篤,707,6
3386,咽,706,9
3387,荊,706,0
3388,鵑,706,8
3389,昶,706,9
3390,諱,704,6
3391,屌,704,9
3392,憎,703,5
3393,裳,700,4
3394,陡,699,0
3395,楞,698,3
3396,洶,697,9
3397,耘,693,0
3398,嚨,693,9
3399,莘,691,1
3400,淼,691,2
3401,嗤,690,3
3402,酵,690,4
3403,銓,690,4
3404,煜,689,3
3405,鷥,689,3
3406,厝,687,0
3407,轍,687,8
3408,嗓,684,3
3409,偕,683,1
3410,揍,683,2
3411,摺,682,4
3412,簫,682,8
3413,戌,681,6
3414,烹,681,1
3415,鞏,681,5
3416,盔,680,1
3417,傭,680,3
3418,骯,679,4
3419,烙,678,0
3420,蚱,678,1
3421,慷,678,4
3422,嶸,678,7
3423,徜,677,1
3424,偈,677,1
3425,焰,676,2
3426,啾,675,2
3427,誅,675,3
3428,曙,674,7
3429,藹,674,0
3430,蚵,670,1
3431,憨,670,6
3432,峨,668,0
3433,悽,668,1
3434,磯,667,7
3435,涓,665,0
3436,蒲,665,4
3437,茉,664,9
3438,揉,664,2
3439,閑,663,2
3440,璟,663,6
3441,饑,663,0
3442,畸,662,3
3443,鯉,660,8
3444,鯽,660,8
3445,銬,659,4
3446,岐,658,7
3447,雋,658,3
3448,誨,657,4
3449,稽,656,5
3450,戊,655,5
3451,臻,654,6
3452,繃,654,7
3453,扒,653,5
3454,舵,653,1
3455,巳,650,3
3456,羔,649,0
3457,睬,649,3
3458,恁,649,0
3459,癸,647,9
3460,艙,647,6
3461,紡,646,0
3462,煒,646,3
3463,韌,645,2
3464,弔,644,4
3465,娑,644,0
3466,擷,644,8
3467,冕,643,1
3468,碘,642,3
3469,豁,642,7
3470,摳,642,4
3471,肘,641,7
3472,抨,639,8
3473,曇,639,6
3474,臆,639,7
3475,熔,638,4
3476,駒,637,5
3477,壩,637,4
3478,絞,635,2
3479,疇,635,9
3480,珈,634,9
3481,肛,633,7
3482,骷,633,5
3483,朧,632,0
3484,媛,631,2
3485,嫣,631,4
3486,榨,631,4
3487,纜,630,5
3488,褪,629,6
3489,昀,628,8
3490,趾,628,1
3491,酹,628,4
3492,柚,626,9
3493,搔,626,3
3494,羹,626,9
3495,舖,626,5
3496,眨,622,0
3497,堇,622,1
3498,靨,621,3
3499,蝙,620,5
3500,鞍,620,5
3501,鏟,620,9
3502,哺,618,0
3503,惆,616,1
3504,霓,616,6
3505,癱,615,4
3506,訕,614,0
3507,蛻,614,3
3508,沼,613,8
3509,聾,613,2
3510,憋,610,5
3511,韶,608,4
3512,枷,608,9
3513,懊,607,6
3514,惚,605,1
3515,篩,603,6
3516,巒,603,2
3517,凜,602,5
3518,丫,601,3
3519,硝,601,2
3520,忱,599,7
3521,玖,599,7
3522,嵩,599,3
3523,拌,597,8
3524,絢,597,2
3525,褚,597,3
3526,汎,596,6
3527,葭,596,3
3528,鸚,593,8
3529,嶽,592,7
3530,祁,588,8
3531,矜,588,9
3532,盎,587,0
3533,噫,587,6
3534,婊,585,1
3535,筑,585,2
3536,憩,585,6
3537,鵡,584,9
3538,羈,584,4
3539,娥,583,0
3540,鏢,582,9
3541,硨,581,2
3542,蒹,581,4
3543,袒,580,0
3544,塹,580,4
3545,悴,579,1
3546,瘡,577,5
3547,俾,575,0
3548,窘,575,2
3549,亢,574,4
3550,詬,574,3
3551,扼,573,7
3552,祠,573,0
3553,厥,573,2
3554,蜴,573,4
3555,蛤,572,2
3556,痊,570,1
3557,茱,569,0
3558,儼,569,2
3559,笈,569,0
3560,榴,568,4
3561,騏,568,8
3562,蒜,567,4
3563,奄,565,8
3564,髏,565,1
3565,鬚,565,2
3566,砰,564,0
3567,迢,563,9
3568,蜥,563,4
3569,縷,563,7
3570,鯨,562,9
3571,葔,562,3
3572,糢,560,7
3573,吱,558,7
3574,眩,558,0
3575,棧,558,2
3576,戮,557,5
3577,夸,556,6
3578,樟,555,5
3579,杭,553,8
3580,笠,553,1
3581,咸,552,9
3582,棘,552,2
3583,慵,550,4
3584,籬,550,5
3585,庶,549,1
3586,荼,549,1
3587,捶,549,1
3588,漣,549,4
3589,櫥,549,9
3590,吏,548,6
3591,荐,548,0
3592,芯,547,8
3593,禾,546,5
3594,巔,546,2
3595,肋,544,6
3596,侖,544,8
3597,跆,543,2
3598,恣,542,0
3599,鳩,542,3
3600,蔬,541,5
3601,徉,540,9
3602,跎,540,2
3603,揀,539,2
3604,艸,539,6
3605,嚀,537,7
3606,蜻,535,4
3607,嬉,535,5
3608,鱷,535,7
3609,沁,534,7
3610,嗽,534,4
3611,瑾,534,5
3612,藩,531,9
3613,匕,529,2
3614,鹼,529,4
3615,酋,527,9
3616,虜,527,3
3617,噩,527,6
3618,驛,527,3
3619,奠,526,2
3620,萌,526,2
3621,嗆,526,3
3622,墉,526,4
3623,兢,525,4
3624,躇,525,0
3625,泠,524,8
3626,梢,524,1
3627,翱,524,6
3628,儉,522,5
3629,甸,521,7
3630,薑,520,7
3631,詣,518,3
3632,翡,518,4
3633,僥,517,4
3634,竇,517,0
3635,瘖,517,4
3636,撓,515,5
3637,蟀,515,7
3638,蜓,514,3
3639,躊,514,1
3640,緬,513,5
3641,憔,511,5
3642,擻,511,8
3643,梟,510,1
3644,渲,510,2
3645,耙,509,0
3646,惋,507,1
3647,塾,507,4
3648,皈,506,9
3649,訐,506,0
3650,觴,506,8
3651,眶,505,1
3652,蛀,505,1
3653,愴,505,3
3654,殭,505,7
3655,噗,504,5
3656,灸,502,7
3657,竺,502,8
3658,幌,502,3
3659,痲,501,3
3660,稟,501,3
3661,傌,501,2
3662,欒,500,3
3663,窯,499,5
3664,羲,499,6
3665,愕,498,2
3666,塢,498,3
3667,慟,498,4
3668,炯,497,9
3669,葷,497,3
3670,澱,497,6
3671,佼,497,8
3672,腺,496,3
3673,埸,496,1
3674,膺,495,7
3675,扑,493,5
3676,繆,493,7
3677,冶,492,7
3678,綴,492,4
3679,旱,491,7
3680,灼,491,7
3681,勛,491,2
3682,沱,489,8
3683,嘖,489,4
3684,嗈,489,3
3685,泄,488,8
3686,耨,488,6
3687,霎,488,6
3688,儸,488,1
3689,紊,487,0
3690,噶,487,6
3691,剔,486,0
3692,孵,486,4
3693,冉,485,5
3694,圳,485,6
3695,臼,484,6
3696,抴,484,8
3697,怔,482,8
3698,侷,482,9
3699,褒,482,5
3700,蹉,482,7
3701,粘,482,1
3702,淤,481,1
3703,雌,481,4
3704,檻,481,8
3705,彤,480,7
3706,頤,480,6
3707,俟,479,9
3708,朕,479,0
3709,綾,479,4
3710,蠣,479,1
3711,蕪,478,6
3712,霏,478,6
3713,梧,477,1
3714,妾,476,8
3715,殆,476,9
3716,狙,475,8
3717,諂,475,5
3718,甭,474,9
3719,煦,473,3
3720,眛,472,0
3721,扉,471,2
3722,揪,471,2
3723,瑚,471,3
3724,酪,471,3
3725,漓,470,4
3726,瞇,470,5
3727,諭,470,6
3728,机,470,6
3729,揖,469,2
3730,蟋,469,7
3731,匈,468,6
3732,幢,468,5
3733,瀕,467,9
3734,雍,466,3
3735,蠹,466,4
3736,琇,466,1
3737,閹,466,6
3738,惦,465,1
3739,渠,465,2
3740,愷,464,3
3741,嶄,464,4
3742,兀,463,3
3743,餒,463,5
3744,餾,463,8
3745,訢,462,1
3746,嬋,462,5
3747,炙,460,8
3748,褻,460,7
3749,迂,459,7
3750,姥,459,9
3751,鑿,459,8
3752,玟,457,8
3753,訟,456,1
3754,漪,456,4
3755,釷,456,1
3756,葳,456,3
3757,咐,455,8
3758,骰,454,4
3759,嫻,454,5
3760,踅,454,4
3761,猖,453,1
3762,訛,453,1
3763,辮,453,0
3764,汶,452,7
3765,咻,451,9
3766,儷,451,1
3767,佢,451,7
3768,囝,450,6
3769,烽,450,1
3770,晏,449,0
3771,葫,449,3
3772,僱,449,4
3773,踮,449,5
3774,桔,448,0
3775,誣,448,4
3776,癥,448,0
3777,囑,447,4
3778,罣,447,1
3779,飪,446,2
3780,癖,446,8
3781,彪,444,1
3782,俘,443,9
3783,咄,442,8
3784,渚,442,1
3785,褔,440,4
3786,庇,439,7
3787,侈,439,8
3788,詔,439,2
3789,縈,438,6
3790,箔,437,4
3791,舔,436,4
3792,擂,436,6
3793,璽,436,9
3794,迺,435,0
3795,鯊,435,8
3796,鮑,434,6
3797,疹,433,0
3798,遑,433,3
3799,藺,433,0
3800,洒,433,9
3801,桓,432,0
3802,茗,432,0
3803,辟,432,3
3804,瞋,432,5
3805,褐,432,4
3806,熹,432,6
3807,顱,432,5
3808,弋,430,3
3809,慄,430,3
3810,蓊,430,4
3811,羿,429,9
3812,噬,429,6
3813,籐,428,1
3814,窒,427,1
3815,碴,427,4
3816,跋,426,2
3817,肪,425,8
3818,睦,425,3
3819,罹,425,6
3820,臀,425,7
3821,槌,424,4
3822,瘓,424,4
3823,瀛,423,9
3824,胚,422,9
3825,揹,422,2
3826,漾,422,4
3827,卉,421,5
3828,拇,421,8
3829,釗,421,0
3830,璀,421,5
3831,娣,420,0
3832,諺,420,6
3833,鞘,419,6
3834,吩,418,7
3835,羚,418,1
3836,鉗,418,3
3837,晒,417,0
3838,竣,416,2
3839,熾,416,6
3840,翎,415,1
3841,惺,413,2
3842,丕,412,5
3843,洹,412,9
3844,跛,412,2
3845,勦,412,3
3846,蛾,411,3
3847,撩,411,5
3848,翊,411,1
3849,璁,411,5
3850,氯,410,2
3851,穀,410,5
3852,譎,410,9
3853,攘,410,0
3854,痔,409,1
3855,鈣,409,2
3856,漱,408,4
3857,噯,408,6
3858,婿,407,2
3859,瘀,406,3
3860,軾,406,3
3861,滸,405,4
3862,漩,404,4
3863,昕,403,8
3864,垣,402,9
3865,靄,402,4
3866,尸,401,3
3867,咯,401,9
3868,剿,401,3
3869,瞥,401,6
3870,骸,401,6
3871,咿,400,9
3872,貍,400,4
3873,磷,399,7
3874,繹,399,9
3875,槳,397,5
3876,霾,397,2
3877,棕,396,2
3878,燿,396,8
3879,筍,395,2
3880,吽,394,7
3881,遴,392,6
3882,鎔,392,8
3883,俑,391,9
3884,咨,390,9
3885,婪,390,1
3886,敕,388,1
3887,孺,388,7
3888,訥,387,1
3889,氮,387,2
3890,矗,387,4
3891,尪,387,7
3892,寐,386,2
3893,靴,386,3
3894,裴,386,4
3895,鵲,386,9
3896,靚,386,5
3897,仝,385,5
3898,洸,384,9
3899,磕,384,5
3900,鬢,384,4
3901,荻,381,1
3902,隕,381,3
3903,汞,380,7
3904,蚣,380,0
3905,佯,379,8
3906,珀,379,9
3907,瀝,379,9
3908,咀,378,8
3909,榷,377,4
3910,暐,376,3
3911,簇,375,7
3912,鸝,375,0
3913,隍,374,2
3914,痺,374,3
3915,鎳,374,8
3916,椏,374,2
3917,簣,373,8
3918,籽,372,9
3919,瘴,372,6
3920,胥,371,9
3921,徙,371,1
3922,痠,371,2
3923,濯,371,7
3924,朴,370,6
3925,撮,370,5
3926,搧,370,3
3927,弩,369,8
3928,寅,369,1
3929,殉,368,0
3930,竑,368,9
3931,堉,367,0
3932,麓,367,9
3933,嗔,367,3
3934,蚓,366,0
3935,睞,366,3
3936,墟,366,5
3937,疙,365,8
3938,垠,365,9
3939,蜈,364,3
3940,嬴,364,6
3941,崢,363,1
3942,夙,362,6
3943,嗅,362,3
3944,仆,361,4
3945,璜,361,6
3946,峭,360,0
3947,蜍,360,3
3948,聿,359,6
3949,蚯,359,1
3950,闋,358,7
3951,檀,356,7
3952,鈑,355,2
3953,罔,354,8
3954,摹,354,5
3955,鰻,354,2
3956,蠱,353,3
3957,葾,353,3
3958,拈,352,8
3959,媲,352,3
3960,箋,352,4
3961,湄,351,2
3962,擄,351,6
3963,鴕,350,6
3964,謾,350,8
3965,矚,349,5
3966,垚,348,9
3967,賬,346,5
3968,躪,346,7
3969,崚,346,1
3970,樊,345,5
3971,瘩,345,5
3972,蔗,345,5
3973,邃,345,8
3974,亙,343,6
3975,沂,343,7
3976,韃,343,2
3977,粱,342,3
3978,蹂,342,6
3979,旄,342,0
3980,捫,341,1
3981,諳,341,6
3982,紓,341,0
3983,叨,340,5
3984,焜,340,2
3985,螳,340,7
3986,曄,339,6
3987,劭,338,7
3988,喈,338,2
3989,漬,337,4
3990,閨,337,4
3991,瀆,337,8
3992,乩,336,6
3993,憚,336,5
3994,雱,336,2
3995,坷,335,8
3996,奚,335,0
3997,淮,335,1
3998,拗,334,8
3999,稠,334,3
4000,睽,334,4
4001,跩,333,3
4002,酗,332,1
4003,彆,332,4
4004,浙,331,0
4005,鋇,330,5
4006,琢,329,2
4007,誹,329,5
4008,饕,329,2
4009,齷,329,4
4010,隼,329,0
4011,箍,329,4
4012,吮,328,7
4013,陞,328,0
4014,掐,328,1
4015,蓁,328,4
4016,寨,327,4
4017,敖,326,1
4018,驥,326,5
4019,酉,325,7
4020,咩,325,9
4021,虱,324,8
4022,酣,324,2
4023,篷,324,7
4024,癲,324,4
4025,欸,324,1
4026,媄,324,2
4027,岑,323,7
4028,湃,323,2
4029,遏,323,3
4030,驍,323,2
4031,睭,323,3
4032,万,322,3
4033,匱,321,4
4034,濺,321,8
4035,簷,321,9
4036,戾,318,8
4037,滂,318,3
4038,鑣,318,3
4039,鬩,318,8
4040,竽,317,9
4041,芻,317,0
4042,烜,316,0
4043,銃,316,3
4044,渥,315,2
4045,燉,315,6
4046,瞑,314,5
4047,鑲,314,5
4048,衿,314,9
4049,粟,313,2
4050,笆,312,0
4051,摻,312,4
4052,錘,312,7
4053,吁,311,6
4054,蛹,311,3
4055,梖,311,1
4056,恙,310,0
4057,崛,310,1
4058,烷,310,1
4059,賏,310,4
4060,孜,309,7
4061,嶇,309,4
4062,榻,309,4
4063,綢,309,4
4064,譙,309,9
4065,遽,308,7
4066,卍,307,6
4067,爻,306,4
4068,贔,306,1
4069,葆,305,3
4070,驂,305,1
4071,娓,304,0
4072,棗,303,2
4073,餿,303,8
4074,潢,303,5
4075,庠,302,9
4076,庵,302,1
4077,剷,302,3
4078,嚥,302,9
4079,捅,302,0
4080,垛,301,9
4081,迭,300,9
4082,圃,300,0
4083,狽,300,0
4084,嗦,300,3
4085,町,300,7
4086,鯰,300,9
4087,漳,299,4
4088,澹,299,6
4089,隴,298,9
4090,齪,298,2
4091,厘,298,9
4092,杵,297,8
4093,蟆,297,7
4094,哞,297,9
4095,慫,296,5
4096,姪,295,9
4097,苯,295,9
4098,揆,295,2
4099,髦,295,4
4100,懵,295,9
4101,潞,295,6
4102,詫,294,3
4103,賂,293,3
4104,琬,292,2
4105,橢,291,6
4106,佗,290,7
4107,皎,290,1
4108,詼,290,3
4109,諄,290,5
4110,峘,290,9
4111,鏞,290,9
4112,貽,289,2
4113,壬,288,4
4114,悚,288,0
4115,摒,288,2
4116,殤,288,5
4117,邇,288,8
4118,忡,288,7
4119,逑,288,1
4120,孚,287,7
4121,劾,287,8
4122,喳,287,2
4123,糯,287,0
4124,佣,286,7
4125,濂,286,6
4126,榆,285,3
4127,緹,285,5
4128,餡,285,6
4129,馥,285,8
4130,踝,284,5
4131,鬨,284,6
4132,迥,283,9
4133,鎘,283,8
4134,叱,282,5
4135,拎,282,8
4136,猥,282,2
4137,悖,279,0
4138,膿,279,7
4139,鱈,279,2
4140,柿,278,9
4141,砥,278,0
4142,潺,278,5
4143,盥,278,6
4144,臍,278,8
4145,邰,278,8
4146,腑,277,2
4147,鎂,277,7
4148,攢,277,2
4149,隋,275,2
4150,嗣,274,3
4151,閘,274,3
4152,碇,274,3
4153,豺,273,0
4154,冇,273,4
4155,傜,273,2
4156,梗,272,1
4157,肄,272,3
4158,萼,272,3
4159,咁,272,8
4160,搥,272,3
4161,枋,271,8
4162,沽,271,8
4163,畝,271,0
4164,衙,271,3
4165,魷,271,5
4166,鑾,271,7
4167,篡,270,6
4168,璨,270,7
4169,錨,270,7
4170,泯,269,8
4171,拽,269,9
4172,鎗,269,8
4173,籟,269,2
4174,蔫,269,5
4175,戎,268,6
4176,剌,268,9
4177,貯,268,2
4178,黝,268,7
4179,徠,267,1
4180,妍,266,7
4181,沃,266,7
4182,鈦,266,2
4183,逵,265,2
4184,唄,265,0
4185,嗩,265,3
4186,馭,264,2
4187,恿,263,1
4188,灶,262,7
4189,昊,262,8
4190,胤,262,9
4191,鈿,262,3
4192,闔,262,8
4193,沬,261,8
4194,琅,260,1
4195,筐,260,2
4196,浣,260,0
4197,杞,259,7
4198,牒,259,3
4199,荃,258,0
4200,鉦,258,3
4201,艋,257,4
4202,踼,257,6
4203,驤,257,7
4204,苞,256,9
4205,痣,256,2
4206,澗,256,5
4207,洄,256,9
4208,牯,255,9
4209,啜,255,0
4210,痰,255,3
4211,莞,254,1
4212,愜,254,2
4213,嗖,254,3
4214,煇,254,3
4215,鮭,253,7
4216,倏,252,1
4217,藕,252,9
4218,芮,252,8
4219,麾,251,5
4220,雉,250,3
4221,鼐,250,5
4222,仞,249,5
4223,栩,249,0
4224,菠,249,2
4225,剽,249,3
4226,狒,249,8
4227,儺,249,1
4228,柒,248,9
4229,筏,248,2
4230,妲,248,8
4231,伎,247,6
4232,睫,246,3
4233,紜,245,0
4234,輦,245,5
4235,顰,245,4
4236,哮,244,0
4237,骼,244,6
4238,螫,244,7
4239,愫,244,3
4240,裱,244,3
4241,鐽,244,1
4242,荀,243,0
4243,晤,243,1
4244,釧,243,1
4245,雩,243,1
4246,玠,243,8
4247,吆,242,6
4248,汨,242,7
4249,糜,242,7
4250,呷,241,8
4251,毗,241,9
4252,涌,241,0
4253,弼,241,2
4254,坍,240,7
4255,垓,240,9
4256,靦,240,6
4257,乒,239,6
4258,麴,239,9
4259,黴,239,3
4260,籮,239,5
4261,噠,239,6
4262,齁,239,9
4263,悻,238,1
4264,楨,238,3
4265,鸞,238,0
4266,悱,238,1
4267,綏,237,3
4268,旳,237,7
4269,緋,237,4
4270,歛,237,7
4271,躄,237,0
4272,偌,236,1
4273,蒨,236,4
4274,謔,236,6
4275,冽,235,8
4276,蜃,235,3
4277,瞰,234,7
4278,薏,234,7
4279,腆,233,2
4280,槭,233,5
4281,宸,232,0
4282,蝗,232,5
4283,踱,232,6
4284,餞,232,6
4285,逄,232,0
4286,浬,231,0
4287,娼,231,1
4288,劊,231,5
4289,巿,230,4
4290,屹,229,6
4291,唧,229,0
4292,唏,229,0
4293,娉,229,0
4294,潦,229,5
4295,嗙,229,3
4296,蚌,228,0
4297,稔,228,3
4298,乓,227,6
4299,倔,227,0
4300,哽,226,0
4301,窠,226,3
4302,烸,226,1
4303,俸,225,0
4304,淦,225,1
